id_registro,fecha_obs,especie,nombre_comun,clase,orden,municipio,localidad,ecosistema,n_individuos,longitud,latitud,observador,estado_conservacion,fuente
REG143,2024-01-19,Eudocimus albus,Corocora blanca,Aves,Pelecaniformes,Campo de la Cruz,Ciénaga Grande de Santa Marta,humedal,31,-74.8869,10.3654,Torres A.,LC,SiB Colombia
REG144,21/01/2024,Thalasseus maximus,Charrán real,Aves,Charadriiformes,Puerto Colombia,Playa de Puerto Colombia,marino_costero,14,-74.9617,10.9998,Barrios R.,LC,SiB Colombia
REG145,2024-01-24,Megaceryle torquata,Martín pescador grande,Aves,Coraciiformes,Repelón,Río Magdalena afluente,humedal,2,-75.1021,10.5001,Pérez C.,LC,SiB Colombia
REG146,26/01/2024,Amazonetta brasiliensis,Pato brasilero,Aves,Anseriformes,Campo de la Cruz,Ciénaga Grande zona sur,humedal,5,-74.8869,10.3654,Martínez L.,LC,SiB Colombia
REG147,2024-01-28,Ramphastos sulfuratus,Tucán piquiverde,Aves,Piciformes,Luruaco,Bosque de Luriza sector D,bosque_seco,4,-75.1412,10.5638,Ramírez J.,LC,SiB Colombia
REG148,30/01/2024,Nyctibius griseus,Bienparao,Aves,Nyctibiiformes,Repelón,Bosque relicto nocturno,bosque_seco,1,-75.1021,10.5301,Gómez M.,LC,SiB Colombia
REG149,2024-02-01,Melanerpes rubricapillus,Carpintero habado,Aves,Piciformes,Repelón,Bosque relicto Repelón,bosque_seco,3,-75.1021,10.5301,Torres A.,LC,SiB Colombia
REG150,03/02/2024,Ardea alba,Garza real,Aves,Pelecaniformes,Sabanalarga,Ciénaga de Sabanalarga interior,humedal,9,-74.9312,10.6354,Barrios R.,LC,SiB Colombia
REG151,2024-02-05,Coragyps atratus,Gallinazo negro,Aves,Cathartiformes,Baranoa,Municipio de Baranoa casco urbano,urbano,12,-74.9207,10.8012,Pérez C.,LC,SiB Colombia
REG152,07/02/2024,Iguana iguana,Iguana verde,Reptilia,Squamata,Malambo,Ribera del río Magdalena Malambo,humedal,4,-74.7821,10.8654,Martínez L.,LC,SiB Colombia
REG153,2024-02-09,Ara macao,Guacamaya roja,Aves,Psittaciformes,Luruaco,Bosque de Luriza sector sur,bosque_seco,3,-75.1412,10.5638,Ramírez J.,LC,SiB Colombia
REG154,11/02/2024,Caiman crocodilus,Babilla,Reptilia,Crocodilia,Manatí,Ciénaga de Manatí zona de juncales,humedal,3,-74.9645,10.4369,Gómez M.,LC,SiB Colombia
REG155,2024-02-13,Turdus ignobilis,Mirla ollera,Aves,Passeriformes,Barranquilla,Barrio Las Delicias,urbano,5,-74.8201,10.9601,Torres A.,LC,SiB Colombia
REG156,15/02/2024,Dendrocygna autumnalis,Pijije aliblanco,Aves,Anseriformes,Campo de la Cruz,Ciénaga Grande interior,humedal,23,-74.8869,10.3654,Barrios R.,LC,SiB Colombia
REG157,2024-02-17,Cerdocyon thous,Zorro perro,Mammalia,Carnivora,Repelón,Bosque relicto Repelón borde norte,bosque_seco,1,-75.1021,10.5301,Pérez C.,LC,SiB Colombia
REG158,19/02/2024,Heliornis fulica,Pato cantil,Aves,Gruiformes,Sabanalarga,Ciénaga de Sabanalarga zona de lotos,humedal,2,-74.9214,10.6354,Martínez L.,LC,SiB Colombia
REG159,2024-02-21,Egretta thula,Garceta nívea,Aves,Pelecaniformes,Repelón,Embalse El Guájaro,humedal,13,-75.1021,10.4987,Ramírez J.,LC,SiB Colombia
REG160,23/02/2024,Brotogeris jugularis,Periquito de gorjiamarillo,Aves,Psittaciformes,Barranquilla,Barrio Olaya,urbano,7,-74.8301,10.9701,Gómez M.,LC,SiB Colombia
REG161,2024-02-25,Eunectes murinus,Anaconda verde,Reptilia,Squamata,Repelón,Embalse El Guájaro zona profunda,humedal,1,-75.1021,10.4987,Torres A.,DD,SiB Colombia
REG162,27/02/2024,Phalacrocorax brasilianus,Cormorán neotropical,Aves,Suliformes,Barranquilla,Ciénaga de Mallorquín,humedal,16,-74.8365,11.0241,Barrios R.,LC,SiB Colombia
REG163,2024-02-29,Nycticorax nycticorax,Garza bruja,Aves,Pelecaniformes,Campo de la Cruz,Ciénaga Grande de Santa Marta,humedal,11,-74.8869,10.3654,Pérez C.,LC,SiB Colombia
REG164,02/03/2024,Thalasseus maximus,Charrán real,Aves,Charadriiformes,Puerto Colombia,Playa de Salgar norte,marino_costero,21,-74.9561,10.9945,Martínez L.,LC,SiB Colombia
REG165,2024-03-05,Ortalis garrula,Guacharaca del Caribe,Aves,Galliformes,Repelón,Bosque relicto zona oeste,bosque_seco,7,-75.1021,10.5201,Ramírez J.,LC,IUCN
REG166,07/03/2024,Mycteria americana,Gabán peonía,Aves,Ciconiiformes,Manatí,Lagunas arroceras Manatí,humedal,6,-74.9512,10.4501,Gómez M.,VU,SiB Colombia
REG167,2024-03-09,Buteo platypterus,Gavilán aliancho,Aves,Accipitriformes,Repelón,Bosque relicto migración,bosque_seco,4,-75.1021,10.5301,Torres A.,LC,SiB Colombia
REG168,11/03/2024,Jacana jacana,Jacana suramericana,Aves,Charadriiformes,Repelón,Embalse El Guájaro sector de pantanos,humedal,8,-75.1021,10.4987,Barrios R.,LC,SiB Colombia
REG169,2024-03-13,Boa constrictor,Boa constrictor,Reptilia,Squamata,Repelón,Bosque relicto Repelón,bosque_seco,1,-75.1021,10.5201,Pérez C.,LC,SiB Colombia
REG170,15/03/2024,Ardea cocoi,Garza morena,Aves,Pelecaniformes,Sabanalarga,Embalse El Guájaro,humedal,5,-74.9312,10.6354,Martínez L.,LC,SiB Colombia
REG171,2024-03-17,Pelecanus occidentalis,Pelícano pardo,Aves,Pelecaniformes,Puerto Colombia,Playa Mendoza,marino_costero,15,-74.9617,10.9998,Ramírez J.,LC,SiB Colombia
REG172,19/03/2024,Tigrisoma lineatum,Garza tigre listada,Aves,Pelecaniformes,Manatí,Ciénaga de Manatí zona interna,humedal,2,-74.9512,10.4412,Gómez M.,LC,SiB Colombia
REG173,2024-03-21,Melanerpes rubricapillus,Carpintero habado,Aves,Piciformes,Baranoa,Bosque seco Baranoa zona A,bosque_seco,2,-74.9101,10.8112,Torres A.,LC,SiB Colombia
REG174,23/03/2024,Mimus gilvus,Sinsonte tropical,Aves,Passeriformes,Malambo,Barrio Nuevo Malambo,urbano,3,-74.7701,10.8601,Barrios R.,LC,SiB Colombia
REG175,2024-03-25,Crotophaga ani,Garrapatero común,Aves,Cuculiformes,Sabanalarga,Bordes de cultivo Sabanalarga,pastizal,14,-74.9214,10.6354,Pérez C.,LC,SiB Colombia
REG176,27/03/2024,Podilymbus podiceps,Zampullín piquigrueso,Aves,Podicipediformes,Sabanalarga,Ciénaga de Sabanalarga zona abierta,humedal,4,-74.9312,10.6354,Martínez L.,LC,SiB Colombia
REG177,2024-03-29,Amazona ochrocephala,Lora real,Aves,Psittaciformes,Repelón,Bosque relicto Repelón zona B,bosque_seco,2,-75.1021,10.5301,Ramírez J.,LC,SiB Colombia
REG178,31/03/2024,Vanellus chilensis,Pellar común,Aves,Charadriiformes,Barranquilla,Prado Boulevard,urbano,5,-74.8057,10.9962,Gómez M.,LC,SiB Colombia
REG179,2024-04-02,Eudocimus albus,Corocora blanca,Aves,Pelecaniformes,Repelón,Embalse El Guájaro zona manglar,humedal,20,-75.1021,10.4987,Torres A.,LC,SiB Colombia
REG180,04/04/2024,Porphyrio martinica,Calamón americano,Aves,Gruiformes,Campo de la Cruz,Ciénaga Grande sector litoral,humedal,6,-74.8869,10.3654,Barrios R.,LC,SiB Colombia
REG181,2024-04-06,Caiman crocodilus,Babilla,Reptilia,Crocodilia,Repelón,Embalse El Guájaro borde este,humedal,2,-75.1021,10.4987,Pérez C.,LC,SiB Colombia
REG182,08/04/2024,Anhinga anhinga,Pato aguja,Aves,Suliformes,Sabanalarga,Ciénaga de Sabanalarga zona de pesca,humedal,4,-74.9214,10.6354,Martínez L.,LC,SiB Colombia
REG183,2024-04-10,Tyrannus melancholicus,Sirirí común,Aves,Passeriformes,Barranquilla,Parque Suri Salcedo,urbano,3,-74.8112,10.9712,Ramírez J.,LC,SiB Colombia
REG184,12/04/2024,Crotophaga sulcirostris,Garrapatero piquiestriado,Aves,Cuculiformes,Malambo,Zona ganadera Malambo,pastizal,8,-74.7701,10.8601,Gómez M.,LC,SiB Colombia
REG185,2024-04-14,Ardea alba,Garza real,Aves,Pelecaniformes,Campo de la Cruz,Ciénaga Grande de Santa Marta norte,humedal,11,-74.8869,10.3654,Torres A.,LC,SiB Colombia
REG186,16/04/2024,Dasypus novemcinctus,Armadillo de nueve bandas,Mammalia,Cingulata,Repelón,Bosque relicto Repelón,bosque_seco,1,-75.1021,10.5201,Barrios R.,NT,SiB Colombia
REG187,2024-04-18,Ramphastos sulfuratus,Tucán piquiverde,Aves,Piciformes,Repelón,Bosque relicto Repelón sector E,bosque_seco,2,-75.1021,10.5301,Pérez C.,LC,SiB Colombia
REG188,20/04/2024,Trachemys callirostris,Tortuga icotea,Reptilia,Testudines,Sabanalarga,Ciénaga de Sabanalarga,humedal,5,-74.9214,10.6354,Martínez L.,VU,SiB Colombia
REG189,2024-04-22,Heliornis fulica,Pato cantil,Aves,Gruiformes,Manatí,Ciénaga de Manatí sector de vegetación densa,humedal,2,-74.9645,10.4369,Ramírez J.,LC,SiB Colombia
REG190,24/04/2024,Boa constrictor,Boa constrictor,Reptilia,Squamata,Luruaco,Bosque de Luriza sector seco,bosque_seco,1,-75.1412,10.5638,Gómez M.,LC,SiB Colombia
REG191,2024-04-26,Ara macao,Guacamaya roja,Aves,Psittaciformes,Repelón,Bosque relicto Repelón este,bosque_seco,2,-75.1021,10.5301,Torres A.,LC,SiB Colombia
REG192,28/04/2024,Nycticorax nycticorax,Garza bruja,Aves,Pelecaniformes,Repelón,Embalse El Guájaro sur,humedal,9,-75.1021,10.4987,Barrios R.,LC,SiB Colombia
REG193,2024-04-30,Ortalis garrula,Guacharaca del Caribe,Aves,Galliformes,Luruaco,Bosque de Luriza zona de borde,bosque_seco,5,-75.1412,10.5638,Pérez C.,LC,IUCN
REG194,02/05/2024,Tigrisoma lineatum,Garza tigre listada,Aves,Pelecaniformes,Repelón,Embalse El Guájaro zona boscosa sur,humedal,3,-75.1021,10.4987,Martínez L.,LC,SiB Colombia
REG195,2024-05-04,Cerdocyon thous,Zorro perro,Mammalia,Carnivora,Luruaco,Bosque de Luriza zona D,bosque_seco,1,-75.1412,10.5638,Ramírez J.,LC,SiB Colombia
REG196,06/05/2024,Jacana jacana,Jacana suramericana,Aves,Charadriiformes,Manambo,Ciénaga del Convento norte,humedal,7,-74.7821,10.8654,Gómez M.,LC,SiB Colombia
REG197,2024-05-08,Dendrocygna autumnalis,Pijije aliblanco,Aves,Anseriformes,Repelón,Embalse El Guájaro zona sur,humedal,19,-75.1021,10.4987,Torres A.,LC,SiB Colombia
REG198,10/05/2024,Podocnemis lewyana,Tortuga de río magdalena,Reptilia,Testudines,Campo de la Cruz,Río Magdalena zona de playa,humedal,2,-74.8801,10.3601,Barrios R.,EN,SiB Colombia
REG199,2024-05-12,Eudocimus albus,Corocora blanca,Aves,Pelecaniformes,Campo de la Cruz,Ciénaga Grande de Santa Marta este,humedal,28,-74.8869,10.3654,Pérez C.,LC,SiB Colombia
REG200,14/05/2024,Porphyrio martinica,Calamón americano,Aves,Gruiformes,Malambo,Ciénaga del Convento zona de totoras,humedal,4,-74.7821,10.8654,Martínez L.,LC,SiB Colombia
